serial_number,name,year,act_number,section,page_number,source
859,Union Territories (Stamp and Court-fees Laws) Act,1961,33,,19,table
860,Unit T rust of India (Transfer of Undertaking and Repeal) Act,2002,58,,19,table
861,United Nations (Privileges and Immunities) Act,1947,46,,19,table
862,United Nations (Security Council) Act,1947,43,,19,table
863,Univer sity Grants Commission Act,1956,03,,19,table
864,Univer sity of Hyderabad Act,1974,39,,19,table
865,Univer sity of Allahabad Act,2005,26,,19,table
866,Unlaw ful Activities (Prevention)Act,1967,37,,19,table
867,Unorg anised Sector Workers Social Security Act,2008,33,,19,table
868,Urban Land (Ceiling and Regulation) Repeal Act,1999,15,,19,table
869,Usurio us Loans Act,1918,10,,19,table
870,Uttara nchal (Alteration of Name) Act,2006,52,,19,table
871,Uttar P radesh Reorganisation Act,2000,29,,19,table
872,Van (S anrakshan Evam Samvardhan) Adhiniyam,1980,69,V,19,table
873,Vice-President's Pension Act,1997,30,,19,table
874,Victor ia Memorial Act,1903,10,,19,table
875,Visva- Bharati Act,1951,29,,19,table
876,Volun tary Surrender of Salaries (Exemption from Taxation) Act,1961,46,,19,table
877,Wareh ousing Corporations Act,1962,58,,19,table
878,Wareh ousing Corporations (Supplementary) Act,1965,20,,19,table
879,Wareh ousing (Development and Regulation) Act,2007,37,,19,table
880,Waste -Lands (Claims)Act,1863,23,,19,table
881,Water (Prevention and Control of Pollution) Act,1974,6,,19,table
882,Wealth -Tax Act,1957,27,,19,table
883,Weapo ns of Mass Destruction and their Delivery Systems (Prohibition of Unlawful Activities) Act,2005,21,,19,table
884,West G odavari District (Assimilation of Law son Federal Subjects) Act,1949,20,,19,table
885,White Phosphorus Matches Prohibition Act,1913,5,,19,table
886,Wild L ife (Protection) Act,1972,53,,19,table
887,Wome n's and Children's Institutions (Licensing) Act,1956,105,,19,table
888,Worki ng Journalists and Other Newspaper Employees (Conditions of Service) And Miscellaneous Provisions Act,1955,45,,19,table
889,Worki ng Journalists (Fixation of Rates of Wages) Act,1958,29,,19,table
890,Works of Defence Act,1903,7,,19,table
851,Tripur a University Act,2007,9,,19,text
852,Tyre C orporation of India Limited (Disinvestment of Ownership) Act,2007,50,,19,text
853,"Unifie d Waqf Management, Empowerment, Efficiency and",1995,43,,19,text
883,Weapo ns of Mass Destruction and their Delivery Systems (Prohibition,2005,21,,19,text
888,Worki ng Journalists and Other Newspaper Employees (Conditions of,1955,45,,19,text
